date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
16/04/2024;00:52;23/04/2024;18:00;D;Gare de Vaise;Esc. 8404;MC HS - Aremplacer;Usure;escalier;2024;185.13333333333333;7.713888888888889;8404.0
16/04/2024;13:46;21/04/2024;20:14;T4;Manufacture ;Esc. 9701 ;Problemes DP ;Panne;escalier;2024;126.46666666666667;5.269444444444445;9701.0
24/04/2024;;24/04/2024;16:00;D;Bellecour;Esc. 2607;Remplacement main courante ;Usure;escalier;2024;;;2607.0
27/04/2024;10:35;03/05/2024;20:00;A;République;Asc. 202;Suite vandalisme boite à bouton HS ;Mauvaise utilisation;ascenseur;2024;153.41666666666666;6.392361111111111;202.0
28/04/2024;04:30;31/05/2024;;A;Masséna ;Asc. 221;Cartes elect HS suite intempéries ;Panne;ascenseur;2024;;;221.0
28/04/2024;06:28;30/04/2024;10:45;D;Bellecour;Esc. 2607;Caisson inondé suite intempéries ;Panne;escalier;2024;52.28333333333333;2.178472222222222;2607.0
02/05/2024;11:42;06/05/2024;18:48;F;Minimes;Asc. 921;Disjonctions et masses suite infiltration d'eau;Panne;ascenseur;2024;103.1;4.295833333333333;921.0
06/05/2024;00:20;07/05/2024;16:42;B;Brotteaux;Asc. 411;Reglages portes;Vandalisme ;ascenseur;2024;40.36666666666667;1.6819444444444445;411.0
06/05/2024;06:28;06/05/2024;17:38;D;Saxe Gambetta ;Asc. 441 ;Remplacement du relais de fermeture et Nettoyage du relais de frein;Panne;ascenseur;2024;11.166666666666666;0.46527777777777773;441.0
06/05/2024;05:35;06/05/2024;19:07;D;Valmy;Esc. 8302;Defaut trappe;Mauvaise utilisation;escalier;2024;13.533333333333333;0.5638888888888889;8302.0
07/05/2024;21:10;18/05/2024;12:21;A;Foch;Asc. 232 ;Relais carte manœuvre HS pièce en attente + Pb sur frein;Panne;ascenseur;2024;255.18333333333334;10.63263888888889;232.0
08/05/2024;09:57;10/05/2024;16:14;B;Jean jaures;Asc. 461;Probleme selection ;Panne;ascenseur;2024;54.28333333333333;2.2618055555555556;461.0
08/05/2024;16:55;10/05/2024;17:30;B;Oullins gare ;Asc. 501;Contact porte cabine HS;Panne;ascenseur;2024;48.583333333333336;2.024305555555556;501.0
08/05/2024;04:57;08/05/2024;19:10;D;Valmy;Esc. 8302;Defaut trappes;Mauvaise utilisation;escalier;2024;14.216666666666667;0.5923611111111111;8302.0
08/05/2024;20:05;10/05/2024;17:00;D;Mermoz;c;Fin de course haut HS;Panne;escalier;2024;44.916666666666664;1.8715277777777777;
11/05/2024;12:05;13/05/2024;09:05;D;Grange Blanche ;Asc. 741;Contact cabine HS;Panne;ascenseur;2024;45.0;1.875;741.0
11/05/2024;05:18;12/05/2024;05:40;F;Minimes;Asc. 921;Disjonctions et masses suite infiltration d'eau;Panne;ascenseur;2024;24.366666666666667;1.0152777777777777;921.0
12/05/2024;11:32;13/05/2024;17:14;D;Parilly;Esc.7101;Defaut peigne ;Panne;escalier;2024;29.7;1.2375;7101.0
13/05/2024;10:17;15/05/2024;17:08;F;Minimes;Asc. 921;Disjonctions et masses suite infiltration d'eau;Panne;ascenseur;2024;54.85;2.285416666666667;921.0
13/05/2024;04:34;17/05/2024;05:25;A;Cusset;Esc. 1701;plaque porte peigne hs + 4 marches HS (vis);Vandalisme ;escalier;2024;96.85;4.035416666666666;1701.0
17/05/2024;18:56;18/05/2024;10:02;A;Bellecour;Asc. 264;Defaut thermique moteur centrale hydraulique;Panne;ascenseur;2024;15.1;0.6291666666666667;264.0
