id;date_maj;code_lieu;code_station;nom_station;code_equipement;type_equipement;equipement;debut_indispo;cause;consequence;fin_indispo;gid;last_update_fme
45;2025-05-12 08:54:00;5046;24;Hôtel de Ville L. Pradel;242;ASCENSEUR;direction Vaulx-en-Velin La Soie, correspondance ligne A / ligne C direction Cuire, accès Mairie Annexe;2025-05-12 00:00:00;Accès fermé pour travaux;Direction Vaulx-en-Velin La Soie, prendre l'autre ascenseur et passer par la ligne C;2025-05-12 11:00:00;12408706;2025-05-12 08:55:02
46;2025-05-12 08:54:00;5240;96;IUT Feyssine;961;ASCENSEUR;Liaison entre les quais arrivée et départ et le Boulevard Laurent Bonnevay;2025-05-12 00:00:00;Accès fermé pour travaux;Liaison impossible;2025-05-12 11:00:00;12408707;2025-05-12 08:55:02
47;2025-05-12 08:54:00;5002;26;Bellecour;261;ASCENSEUR;direction Vaulx-en-Velin La Soie, correspondance ligne A direction Perrache et  ligne D, direction Gare de Vénissieux ou Gare de Vaise;2025-03-19 00:00:00;Panne;Pour correspondance ligne A direction Perrache et ligne D directions Gare de Vénissieux ou Gare de Vaise, utiliser les autres ascenseurs en passant par la surface;2025-05-25 14:30:00;12408708;2025-05-12 08:55:02
48;2025-05-12 08:54:00;5021;25;Cordeliers;2502;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place des Cordeliers;2025-05-12 00:00:00;Accès fermé pour travaux;.;2025-05-12 10:00:00;12408709;2025-05-12 08:55:02
49;2025-05-12 08:54:00;5024;18;Flachet;182;ASCENSEUR;direction Vaulx-en-Velin La Soie, accès cours Emile Zola;2025-02-03 00:00:00;Panne;Accès impossible direction Vaulx-en-Velin La Soie;2025-05-17 17:30:00;12408710;2025-05-12 08:55:02
50;2025-05-12 08:54:00;5024;18;Flachet;1801;ESCALIER;du quai direction Perrache jusqu'à la sortie cours Emile Zola;2025-04-17 00:00:00;Panne;.;2025-05-16 17:30:00;12408711;2025-05-12 08:55:02
51;2025-05-12 08:54:00;5024;18;Flachet;1802;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie cours Emile Zola;2025-05-12 00:00:00;Panne;.;2025-05-12 10:30:00;12408712;2025-05-12 08:55:02
52;2025-05-12 08:54:00;5101;16;Laurent Bonnevay;169;ASCENSEUR;Parc Relais;2025-05-12 00:00:00;Panne;Accès aux différents niveaux impossible;2025-05-12 11:00:00;12408713;2025-05-12 08:55:02
53;2025-05-12 08:54:00;5101;16;Laurent Bonnevay;1602;ESCALIER;de la passerelle piéton, venant de la gare routière bus, jusqu'à la mezzanine piéton;2025-05-12 00:00:00;Panne;.;2025-05-12 10:30:00;12408714;2025-05-12 08:55:02
54;2025-05-12 08:54:00;5183;20;République Villeurbanne;2001;ESCALIER;du quai direction Perrache jusqu'à la sortie cours Emile Zola;2025-05-12 00:00:00;Panne;.;2025-05-12 10:30:00;12408715;2025-05-12 08:55:02
55;2025-05-12 08:54:00;5564;15;Vaulx-en-Velin La Soie;158;ASCENSEUR;Parc Relais Est;2025-05-12 00:00:00;Panne;Accès aux différents niveaux impossible;2025-05-12 11:00:00;12408716;2025-05-12 08:55:02
