date_debut_panne;heure_debut_panne;date_fin_panne;heure_fin_panne;ligne;station;num_equip;commentaire;motifs;type_equipement;annee_debut_panne;duree_indispo;jour_indispo;id
30/01/2025;15:00;16/02/2025;;A;Cusset;Asc. 171;Câblette endommagée suite point saillant  au niveau porte palière côté rue;Usure;ascenseur;2025;;;171.0
30/01/2025;23:11;02/02/2025;18:30;B;Part dieu ;Esc. 4210;Disjonction de l'appareil ;Panne;escalier;2025;67.31666666666666;2.804861111111111;4210.0
31/01/2025;18:44;03/02/2025;14:05;A;Bellecour;Asc. 264;reprise operateur de porte cabine ;Panne;ascenseur;2025;67.35;2.80625;264.0
31/01/2025;07:04;11/02/2025;09:11;D;Sans souci;Asc. 761;VF+MOTEUR HS;Panne;ascenseur;2025;266.1166666666667;11.088194444444445;761.0
01/02/2025;13:22;19/02/2025;10:00;B;Jean Jaures;Asc. 461;VF+MOTEUR HS;Panne;ascenseur;2025;428.6333333333333;17.85972222222222;461.0
02/02/2025;06:00;31/03/2025;;A;Foch;Esc. 2302;Reprise reglage plaque porte peigne + capteurs HS;Usure;escalier;2025;;;2302.0
03/02/2025;03:52;06/02/2025;09:35;D;Saxe gambetta ;Esc. 4410;Reprise réglages plaque PP;Usure;escalier;2025;77.71666666666667;3.2381944444444444;4410.0
03/02/2025;10:26;04/03/2025;13:45;D;Gare de Vénissieux ;Esc. 7002;Roulement du pignon de la chaine anti derive HS;Usure;escalier;2025;699.3166666666667;29.138194444444448;7002.0
04/02/2025;06:33;30/04/2025;;A;Flachet;Asc. 182;Remplacement moteur PMS + cable traction;Panne;ascenseur;2025;;;182.0
04/02/2025;12:50;31/03/2025;;C;Croix rousse ;Esc. 5702;Réglage plaque porte peigne – actionneur à remplacer;CR DEKRA;escalier;2025;;;5702.0
05/02/2025;13:08;07/02/2025;13:37;D;Bellecour;Esc. 2605;Reprise plaque porte peigne ;Usure;escalier;2025;48.483333333333334;2.020138888888889;2605.0
05/02/2025;11:53;30/04/2025;;D;Garibaldi;Esc. 7701;Chaine main courante X2 + pignon entrainement MC à remplacer;Usure;escalier;2025;;;7701.0
05/02/2025;11:55;31/03/2025;;D;Gorge de loup;Esc. 8203;Reprise plaque porte peigne ;Usure;escalier;2025;;;8203.0
05/02/2025;07:23;30/06/2025;;D;Valmy;Esc. 8302;Chaine de marche + galet de chaine de marche à remplacer;Usure;escalier;2025;;;8302.0
06/02/2025;10:09;31/03/2025;;D;Bellecour;Esc 2603;piste de galets de marche percés, 2 guides de marche à remplacer station de retournement;Usure;escalier;2025;;;2603.0
06/02/2025;10:09;30/04/2025;;D;Bellecour;Esc. 2603;piste de galets de marche percés, 2 guides de marche à remplacer station de retournement;Usure;escalier;2025;;;2603.0
06/02/2025;08:32;30/04/2025;;D;Bellecour;Esc. 2608;Tapis de marches défectueux marches à remplacer, problème de piste station de retournement.;Usure;escalier;2025;;;2608.0
07/02/2025;13:00;20/02/2025;13:25;B;Oullins gare ;Asc. 501;Cellule + coullisseaux HS;Panne;ascenseur;2025;312.4166666666667;13.017361111111112;501.0
08/02/2025;14:37;03/03/2025;15:20;A;Laurent Bonnevay ;Asc. 161;Cellules HS + reprise operateur porte;Usure;ascenseur;2025;552.7166666666667;23.029861111111114;161.0
08/02/2025;06:37;16/04/2025;;D;Grange Blanche;Asc. 741;Moteur centrale hydraulique HS;Panne;ascenseur;2025;;;741.0
09/02/2025;11:57;31/03/2025;;A;Cordeliers;Asc. 251;VF HS;Panne;ascenseur;2025;;;251.0
10/02/2025;16:29;20/03/2025;16:00;B;Guichard ;Asc. 432 ;Contact fin de course HS + choc sur porte;Panne;ascenseur;2025;911.5166666666667;37.97986111111111;432.0
11/02/2025;05:04;18/02/2025;15:00;D;Gare de vaise ;Asc. 842;"Probleme carte electronique + carte manœuvre + connecteur fond de pannier
en cours d' expertise ";Panne;ascenseur;2025;177.93333333333334;7.413888888888889;842.0
11/02/2025;13:25;30/04/2025;;D;Bellecour;Esc. 2601;MC HS+ Nervure HS + Piste galet de marches HS;CR DEKRA;escalier;2025;;;2601.0
11/02/2025;15:49;30/04/2025;;D;Bellecour;Esc. 2606;MC HS + Guide de mc HS + ;CR DEKRA;escalier;2025;;;2606.0
11/02/2025;09:53;18/02/2025;11:00;T4;Manufacture;Esc. 9701;Cellule Dp NOK ;Panne;escalier;2025;169.11666666666667;7.046527777777778;9701.0
12/02/2025;18:38;25/03/2025;;A;Charpennes ;Asc. 212;Oxydation cables de levage + poulie d'adherence HS ;Usure;ascenseur;2025;;;212.0
12/02/2025;11:34;16/02/2025;11:44;D;Saxe gambetta ;Asc. 443 ;Contact fin de course haut HS ;CR DEKRA;ascenseur;2025;96.16666666666667;4.006944444444445;443.0
12/02/2025;12:37;13/02/2025;16:33;B;Part Dieu ;Esc. 4208 ;Nez de marche cassé;Mauvaise utilisation;escalier;2025;27.933333333333334;1.163888888888889;4208.0
12/02/2025;23:10;15/02/2025;14:40;D;Valmy;Esc. 8301;Defaut peigne - contact NOK;Panne;escalier;2025;63.5;2.6458333333333335;8301.0
13/02/2025;22:05;17/02/2025;21:35;A;Cordeliers;Asc. 252;VF HS;Usure;ascenseur;2025;95.5;3.9791666666666665;252.0
13/02/2025;11:05;13/03/2025;16:00;B;Part Dieu ;Asc. 422;Oxydation cables de levage + poulie d'adherence HS ;Usure;ascenseur;2025;676.9166666666666;28.20486111111111;422.0
13/02/2025;15:47;17/02/2025;15:40;D;Grange Blanche;Asc. 743;Galet de serrure HS + porte bloquée n-1;Usure;ascenseur;2025;95.88333333333334;3.995138888888889;743.0
14/02/2025;17:59;17/02/2025;10:00;B;Part Dieu ;Esc. 4208 ;Defaut rupture de chaine + Frein bloquant ;Panne;escalier;2025;64.01666666666667;2.667361111111111;4208.0
15/02/2025;17:30;20/02/2025;14:00;D;Gare de Vénissieux ;Esc. 7003;Defaut plaque porte peigne + Affaissement ;Usure;escalier;2025;116.5;4.854166666666667;7003.0
20/02/2025;23:20;30/04/2025;;B;Jean jaurés ;Asc. 462;Cellule porte HS + cable NOK + guide de chape et fixation tordeus ;;ascenseur;2025;;;462.0
21/02/2025;17:21;03/03/2025;16:00;B;Oullins Centre ;Asc. 513;PROBLEME PORTE NIVEAU RUE;Panne;ascenseur;2025;238.65;9.94375;513.0
21/02/2025;09:30;23/02/2025;12:26;A;Charpennes ;Esc. 2101;GALET DE MARCHE BAS DROIT HS;Usure;escalier;2025;50.93333333333333;2.1222222222222222;2101.0
22/02/2025;;17/03/2025;05:50;F;Fourvière;Asc. 911;Travaux de maintenance annuelle du funiculaire ;;ascenseur;2025;;;911.0
22/02/2025;11:55;31/03/2025;;D;Gare de Vénissieux ;Esc. 7001;DEFAUT MOTEUR + HUILE;Panne;escalier;2025;;;7001.0
23/02/2025;12:00;05/03/2025;14:50;D;Guillotière;Esc 7901;Chaine anti derive detendu à remplacer ;Usure;escalier;2025;242.83333333333334;10.118055555555555;7901.0
25/02/2025;14:30;15/05/2025;;D;Laennec;Esc 7301;Jeux entre maches et plinthes 9mm;CR DEKRA;escalier;2025;;;7301.0
26/02/2025;08:00;27/02/2025;16:00;D;Gare de Vénissieux ;Esc. 7003;Contact de peigne NOK;Panne;escalier;2025;32.0;1.3333333333333333;7003.0
26/02/2025;09:15;28/02/2025;15:56;D;Garibaldi;Esc. 7704;AFFAISSEMENT DE MARCHE;Panne;escalier;2025;54.68333333333333;2.2784722222222222;7704.0
26/02/2025;18:45;01/03/2025;18:40;T4;Manufacture;Esc. 9701;Ne demarre pas à distance pb DP;Panne;escalier;2025;71.91666666666667;2.996527777777778;9701.0
