id;date_maj;code_lieu;code_station;nom_station;code_equipement;type_equipement;equipement;debut_indispo;cause;consequence;fin_indispo;gid;last_update_fme
12;2025-05-14 15:34:00;5221;46;Place Jean Jaurès;4602;ESCALIER;du quai direction Charpennes jusqu'à la sortie avenue Jean Jaures;2025-03-25 00:00:00;Panne;.;2025-05-20 17:30:00;12444954;2025-05-14 15:35:01
13;2025-05-14 15:34:00;5092;44;Saxe - Gambetta;441;ASCENSEUR;direction Charpennes, correspondance Ligne D Gare de Vaise ou Gare de Vénissieux;2025-05-09 00:00:00;Panne;Accès impossible direction Charpennes.  Correspondance impossible Ligne B / Ligne D direction Gare de Vaise ou Gare de Vénissieux.;2025-05-17 21:30:00;12444955;2025-05-14 15:35:01
14;2025-05-14 15:34:00;5092;44;Saxe - Gambetta;4403;ESCALIER;du quai direction St-Genis-Laval Hôpital Lyon Sud jusqu'à la mezzanine sud (niveau sortie avenue Jean Jaurès);2025-04-07 00:00:00;Panne;.;2025-05-25 17:30:00;12444956;2025-05-14 15:35:01
15;2025-05-14 15:34:00;5092;44;Saxe - Gambetta;4404;ESCALIER;du quai direction Charpennes jusqu'à la mezzanine sud (niveau sortie avenue Jean Jaurès);2025-04-09 00:00:00;Panne;.;2025-05-25 17:30:00;12444957;2025-05-14 15:35:01
16;2025-05-14 15:34:00;5092;44;Saxe - Gambetta;4406;ESCALIER;de la mezzanine sud  jusqu'à la sortie avenue Jean Jaurès;2025-05-11 00:00:00;Panne;.;2025-05-25 17:30:00;12444958;2025-05-14 15:35:01
17;2025-05-14 15:34:00;5200;48;Stade de Gerland Le LOU;481;ASCENSEUR;correspondance entre le quai direction St-Genis-Laval Hôpital Lyon Sud et la mezzanine;2025-04-10 00:00:00;Panne;Accès impossible direction Gare d'Oullins;2025-06-16 19:30:00;12444959;2025-05-14 15:35:01
18;2025-05-14 15:34:00;5200;48;Stade de Gerland Le LOU;482;ASCENSEUR;correspondance entre la mezzanine et le quai direction Charpennes;2025-05-13 00:00:00;Panne; Accès impossible direction Charpennes;2025-05-25 17:30:00;12444960;2025-05-14 15:35:01
19;2025-05-14 15:34:00;5200;48;Stade de Gerland Le LOU;4802;ESCALIER;de la mezzanine niveau Point Contact jusqu'au quai direction Charpennes;2025-04-13 00:00:00;Panne;.;2025-06-30 17:30:00;12444961;2025-05-14 15:35:01
20;2025-05-14 15:34:00;5200;48;Stade de Gerland Le LOU;4803;ESCALIER;de la mezzanine niveau Point Contact jusqu'à la sortie avenue Jean Jaurès;2025-05-02 00:00:00;Panne;.;2025-05-20 17:30:00;12444962;2025-05-14 15:35:01
21;2025-05-14 15:34:00;5002;26;Bellecour;2601;ESCALIER;du quai direction Vaulx-en-Velin La Soie jusqu'à la sortie place Bellecour;2025-02-11 00:00:00;Panne;.;2025-05-31 19:30:00;12444963;2025-05-14 15:35:01
22;2025-05-14 15:34:00;5002;26;Bellecour;2603;ESCALIER;du by-pass de correspondance ligne D / ligne A jusqu'au quai ligne A direction Vaulx-en-Velin La Soie;2025-05-13 00:00:00;Entretien programmé;.;2025-06-01 14:30:00;12444964;2025-05-14 15:35:01
23;2025-05-14 15:34:00;5002;26;Bellecour;2605;ESCALIER;du quai central jusqu'à la mezzanine niveau Point Contact;2025-04-22 00:00:00;Entretien programmé;.;2025-05-15 08:30:00;12444965;2025-05-14 15:35:01
24;2025-05-14 15:34:00;5002;26;Bellecour;2606;ESCALIER;du quai central jusqu'à la mezzanine sud (côté Antonin Poncet);2025-02-11 00:00:00;Panne;.;2025-05-31 19:30:00;12444966;2025-05-14 15:35:01
25;2025-05-14 15:34:00;5002;26;Bellecour;2607;ESCALIER;du quai central jusqu'à la mezzanine sud (côté Antonin Poncet);2025-04-18 00:00:00;Entretien programmé;.;2025-05-15 14:00:00;12444967;2025-05-14 15:35:01
26;2025-05-14 15:34:00;5002;26;Bellecour;2608;ESCALIER;de la mezzanine sud (côté Antonin Poncet) jusqu'à la sortie place Antonin Poncet (face à la Poste);2025-02-11 00:00:00;Entretien programmé;.;2025-05-31 18:30:00;12444968;2025-05-14 15:35:01
27;2025-05-14 15:34:00;5103;84;Gare de Vaise;842;ASCENSEUR;direction Gare de Vénissieux, accès Gare Routière ou Parc Relais et place de Paris;2025-05-14 00:00:00;Panne;Accès impossible direction Gare de Vénissieux, correspondance métro D / Gare Routière / Parc Relais depuis la place de Paris. Sortie place de Paris impossible;2025-05-14 17:30:00;12444969;2025-05-14 15:35:01
28;2025-05-14 15:34:00;5103;84;Gare de Vaise;849;ASCENSEUR;Parc Relais, ascenseur de gauche;2025-05-12 00:00:00;Panne;.;2025-05-15 08:30:00;12444970;2025-05-14 15:35:01
29;2025-05-14 15:34:00;5103;84;Gare de Vaise;8402;ESCALIER;sortie rue du 24 mars 1852.;2025-05-14 00:00:00;Panne;.;2025-05-14 17:00:00;12444971;2025-05-14 15:35:01
